用例编号,所属模块,用例标题,前置条件,操作步骤,问题描述,ui原型图,截图,预期,用例类选,适用阶段,优先级,,,验收,复测
,,,,,"短剧官网--发行中心，，这部剧创建时，选择的就是2:7，，收益列表
我看固定的全部显示的6:4

需要和剧列表的一致

https://www.testshort.top/sqx_fast/publisher/settlement/earnings?page=1&limit=10&startDate=2026-07-01&endDate=2026-07-31
",,,,,,,,,,
,,,,,短剧官网--发现中心--账户信息—-异地登陆的多语言加一下,,,,,,,,,,
,,,,,需要支持后管编辑，，需要打开成员的上剧权限，,,,,,,,,,,
,,,,,"短剧后管--发行中心，结算申请列表
驳回原因，需要前端和后端都限制不能超过1000字符

https://admin.testshort.top/sqx_fast/admin/publisher/settlement/audit",,,,,,,,,,
,,,,,"短剧官网--发行中心，邮箱新账号

申请入驻，验证码提示信息是登录，，需要把邮箱验证码的信息也改成通用一点的

和手机号的验证码内容一致",,,,,,,,,,
,,,,,"短剧官网--发行中心，收益明细，需要把剧集id展示出来
和结算的弹窗页面一致
这样方便对账，，我看收益明细接口是有返回剧集ID的",,,,,,,,,,
,,,,,"短剧官网--发行中心，单部剧meining的结算，（260.99+124.09）* 6.8 =2618.544
结算金额是对的

总的6部剧662.99USD * 6.8 =4508.33结算金额也是对的


后结算审核完成后，短剧官网--发行中心，收益列表的状态异常还是待结算
                                                        应当是已结算，，已后管的审核状态为主",,,,,,,,,,
