子域名,出现次数,URL示例（管道符分隔）
website.ltx.studio,1,https://website.ltx.studio/studio/solution/tv-media-networks?utm_source=chatgpt.com
seed.bytedance.com,1,https://seed.bytedance.com/en/blog/one-take-creation-flexible-referencing-introducing-seedance-2-5?utm_source=chatgpt.com
dreamina.capcut.com,1,https://dreamina.capcut.com/ai-video/ai-short-drama?utm_source=chatgpt.com
ir.kuaishou.com,1,https://ir.kuaishou.com/node/11101/pdf?utm_source=chatgpt.com
canvas.storeel.com,1,https://canvas.storeel.com/zh/?utm_source=chatgpt.com
www.linkedin.com,1,https://www.linkedin.com/company/storeel-app?utm_source=chatgpt.com
watcha.cn,1,https://watcha.cn/products/storeel-canvas?utm_source=chatgpt.com
runwayml.com,1,https://runwayml.com/product?m=1&utm_source=chatgpt.com
www.cac.gov.cn,1,https://www.cac.gov.cn/2020-06/01/c_15925617772683193.htm?utm_source=chatgpt.com
english.bjinternetcourt.gov.cn,1,https://english.bjinternetcourt.gov.cn/2026-05/08/c_843.htm?utm_source=chatgpt.com
en.ncac.gov.cn,1,https://en.ncac.gov.cn/legislations/laws/201704/t20170420_57056.html?utm_source=chatgpt.com
english.cnipa.gov.cn,1,https://english.cnipa.gov.cn/art/2025/4/25/art_3090_199316.html?utm_source=chatgpt.com
english.court.gov.cn,1,https://english.court.gov.cn/2026-05/22/c_1185081.htm?utm_source=chatgpt.com
www.channelnewsasia.com,1,https://www.channelnewsasia.com/east-asia/china-generative-ai-microdramas-copyright-creative-concerns-6043656?utm_source=chatgpt.com
www.smpte.org,1,https://www.smpte.org/blog/progress-with-camera-and-lens-metadata?utm_source=chatgpt.com
www.axisaistudios.com,1,https://www.axisaistudios.com/blog/the-complete-list-of-vertical-drama-platforms-in-2026?utm_source=chatgpt.com
dramily.com,1,https://dramily.com/?utm_source=chatgpt.com
www.descript.com,1,https://www.descript.com/pricing?utm_source=chatgpt.com
documents.blackmagicdesign.com,1,https://documents.blackmagicdesign.com/SupportNotes/DaVinci_Resolve_17_New_Features_Guide.pdf?utm_source=chatgpt.com
www.seedance.tv,1,https://www.seedance.tv/zh/pricing?utm_source=chatgpt.com
partner.reelshort.com,1,https://partner.reelshort.com/?utm_source=chatgpt.com
www.dramabox.jp,1,https://www.dramabox.jp/creators?utm_source=chatgpt.com
help.snapchat.com,1,https://help.snapchat.com/hc/en-us/articles/14669003687444-About-Snapchat-s-Monetization-Program?utm_source=chatgpt.com
www.lollipop.im,1,https://www.lollipop.im/blog/ai-tools-comparison/?lang=pt&utm_source=chatgpt.com
aniv.ai,1,https://aniv.ai/?utm_source=chatgpt.com
dramaker.art,1,https://dramaker.art/en?utm_source=chatgpt.com
starreel.ai,1,https://starreel.ai/en/?utm_source=chatgpt.com
pexo.ai,1,https://pexo.ai/create/short-drama?utm_source=chatgpt.com
www.juhuo.cn,1,https://www.juhuo.cn/?utm_source=chatgpt.com
flytoto.com,1,https://flytoto.com/?utm_source=chatgpt.com
lumalabs.ai,1,https://lumalabs.ai/create/ai-video-generator?utm_source=chatgpt.com
www.zmj.net,1,https://www.zmj.net/?utm_source=chatgpt.com
shortdramaagent.com,1,https://shortdramaagent.com/?utm_source=chatgpt.com
www.tahou.com,1,https://www.tahou.com/article/207770451012283397?utm_source=chatgpt.com
www.cnsa.cn,1,https://www.cnsa.cn/art/2026/8/12/art_1955_49163.html?utm_source=chatgpt.com
www.judaxia.art,1,https://www.judaxia.art/?utm_source=chatgpt.com
preview.dmaigc.com,1,https://preview.dmaigc.com/?utm_source=chatgpt.com
post.smzdm.com,1,https://post.smzdm.com/talk/p/al3p2l6e/?utm_source=chatgpt.com
www.stdaily.com,1,https://www.stdaily.com/web/gdxw/2026-07/07/content_543266.html?utm_source=chatgpt.com
dramaura.com,1,https://dramaura.com/?utm_source=chatgpt.com
partnerhelp.netflixstudios.com,1,https://partnerhelp.netflixstudios.com/hc/en-us/articles/10374313428243-Guiding-Principles-English?utm_source=chatgpt.com
videodirect.amazon.com,1,https://videodirect.amazon.com/home/help?topicId=202182400&utm_source=chatgpt.com
drama.tiktok.com,1,https://drama.tiktok.com/?utm_source=chatgpt.com
shortdrama.tiktok.com,1,https://shortdrama.tiktok.com/?utm_source=chatgpt.com
blog.adobe.com,1,https://blog.adobe.com/en/publish/2025/02/12/meet-firefly-video-model-ai-powered-creation-with-unparalleled-creative-control?utm_source=chatgpt.com
academy.openai.com,1,https://academy.openai.com/en/public/videos/how-to-storyboard-with-sora-2025-03-11?utm_source=chatgpt.com
landing.fanvue.com,1,https://landing.fanvue.com/aimanifesto?utm_source=chatgpt.com
www.yoh.app,1,https://www.yoh.app/?utm_source=chatgpt.com
snackreel.ai,1,https://snackreel.ai/?utm_source=chatgpt.com
microdrama.id,1,https://microdrama.id/en?utm_source=chatgpt.com
www.fanvue.com,1,https://www.fanvue.com/?referral=FV-SVPQRC&utm_source=chatgpt.com
legal.fanvue.com,1,https://legal.fanvue.com/creator-policies?utm_source=chatgpt.com
github.com,1,https://github.com/daveebbelaar/ai-cookbook/blob/main/models/openai/08-video/docs/sora2-prompting-guide.md?utm_source=chatgpt.com
deepwiki.com,1,https://deepwiki.com/openai/openai-cookbook/9.3-video-generation-with-sora?utm_source=chatgpt.com
journals.sagepub.com,1,https://journals.sagepub.com/doi/10.3233/FAIA250794?utm_source=chatgpt.com
domer.io,1,https://domer.io/blog/openai-sora-prompt-guide?utm_source=chatgpt.com
getnanoprompts.com,1,https://getnanoprompts.com/blog/ai-video-prompting-guide-sora-veo?utm_source=chatgpt.com
research.snap.com,1,https://research.snap.com/publications/handx-scaling-up-text-conditioned-bimanual-motion-generation.html?utm_source=chatgpt.com
www.ud.hk,1,https://www.ud.hk/en/blogs/insight/article/2026-05-04-sora-2-prompting-framework?utm_source=chatgpt.com
adcreate.com,1,https://adcreate.com/blog/sora-2-prompting-guide-openai-video?utm_source=chatgpt.com
vatsalshah.ca,1,https://vatsalshah.ca/blog/sora-2-prompt-engineering-guide?utm_source=chatgpt.com
aitosora.com,1,https://aitosora.com/docs/guides/sora-2-prompting-guide/?utm_source=chatgpt.com
huggingface.co,1,https://huggingface.co/papers/2506.02444?utm_source=chatgpt.com
sora2video.com,1,https://sora2video.com/docs/sora2/prompting-guide?utm_source=chatgpt.com
developer-openai-com.sitemirror.store,1,https://developer-openai-com.sitemirror.store/api/docs/guides/video-generation/?utm_source=chatgpt.com
droliven.github.io,1,https://droliven.github.io/SViMo_project/?utm_source=chatgpt.com
developers.openai.ac.cn,1,https://developers.openai.ac.cn/api/docs/guides/video-generation?utm_source=chatgpt.com
fusion.is.tue.mpg.de,1,https://fusion.is.tue.mpg.de/?utm_source=chatgpt.com
ai.meta.com,1,https://ai.meta.com/research/seamless-interaction/?utm_source=chatgpt.com
research.nvidia.com,1,https://research.nvidia.com/labs/par/video_storyboarding/?utm_source=chatgpt.com
alignify.co,1,https://alignify.co/tools/short-drama?utm_source=chatgpt.com
aidramareviews.com,1,https://aidramareviews.com/?utm_source=chatgpt.com
